nombre,cantidad,anio
Severa,6,1925
Maria Irene,6,1925
Elba Esther,6,1925
Apolinaria,6,1925
Eduardo Alfredo,6,1925
Gina,6,1925
Antonio Pedro,6,1925
Nicodemo,6,1925
Elena Victoria,6,1925
Toribia,6,1925
Rosa Catalina,6,1925
Antonieta,6,1925
Micaela,6,1925
Teresa de Jesus,6,1925
Manuel Jose,6,1925
Anastacio,6,1925
Abel,6,1925
Esther Antonia,6,1925
Herminio Jose,6,1925
Cosme,6,1925
Juan Constantino,6,1925
Josefa Luisa,6,1925
Marta Esther,6,1925
Elena Josefa,6,1925
Urbana Josefa,6,1925
Damian,6,1925
Isabel Angela,6,1925
Anunciacion,6,1925
Manuel Angel,6,1925
Concepción del Cielo,6,1925
Leticia,6,1925
Julia Elena,6,1925
Blanca Elsa,6,1925
Dora Esther,6,1925
Jorge Marcelo,6,1925
Luisa Dominga,6,1925
José Julio,6,1925
Elsa Teresa,6,1925
Ambrosio,6,1925
Luis Julio,6,1925
Oscar Armando,6,1925
Leonela,6,1925
Elida Maria,5,1925
Olegaria,5,1925
Carolina Maria,5,1925
Hermenegildo,5,1925
Ayrene Luisa,5,1925
Nemesia,5,1925
Elda Hebe,5,1925
Ubalda Ermelinda,5,1925
Maria Generosa,5,1925
Lydia Esther,5,1925
Laureana,5,1925
Luisa Rosa,5,1925
Bonifacia,5,1925
Leona,5,1925
Jose Umberto,5,1925
Juan Victor,5,1925
Elva Esther,5,1925
Alicia Elvira,5,1925
Raúl Angel,5,1925
Clarisa,5,1925
Raimunda,5,1925
Carlos Angel,5,1925
Blanca Nieve,5,1925
Alicia Rosa,5,1925
Amalia Rosa,5,1925
Ruth,5,1925
 Francisco Angel,5,1925
Simeona,5,1925
Elena Del Rosario,5,1925
Marcela,5,1925
Amelia Ana,5,1925
Eleuterio,5,1925
Rosa Margarita,5,1925
Carlos Joaquin,5,1925
Alba Esther,5,1925
Jose Hector,5,1925
Jose Dalmacio,5,1925
Nelly Alicia,5,1925
Irma del Valle,5,1925
Blanca Zulema,5,1925
José Marcial,5,1925
Maria Ceferina,5,1925
Aaron,5,1925
Teresa Carmen,5,1925
Manuel Alfredo,5,1925
Maria Genoveva,5,1925
Pedro Juan,5,1925
Francisca Rosa,5,1925
Francisco Marcelo,5,1925
Antonia Del Valle,5,1925
Maria Nilda,5,1925
Osvaldo Roberto,5,1925
Aniceta,5,1925
Francisco Pedro,5,1925
Helena,5,1925
Candida Rosa,5,1925
Donato,5,1925
Otto,5,1925
Rodolfo Antonio,5,1925
Bilelma Elfrida,5,1925
Azucena del Valle,5,1925
Luis Miguel,5,1925
Rosario Del Carmen,5,1925
Zenona,5,1925
Bartolomé,5,1925
Presentacion,5,1925
Emiliano,5,1925
Nelly Raquel,5,1925
Pedro Nolasco,5,1925
Ramon Rosa,5,1925
Santina,5,1925
Teofilo,5,1925
Carmen Greunisia,5,1925
Juan Pablo,5,1925
Carmen Esther,5,1925
Irma Yolanda,5,1925
Angel Cesar,5,1925
Arduina,5,1925
Nelida Leonor,5,1925
Zulma Angelica,5,1925
Celmira,5,1925
Benedicto,5,1925
